16:57:27:438	-762	-952	-337	-326	0	0	0	0	-1	
16:57:27:454	-757	-953	-334	-332	0	0	0	0	-1	
16:57:27:461	-760	-961	-338	-335	0	0	0	0	-1	
16:57:27:476	-762	-959	-340	-331	0	0	0	0	-1	
16:57:27:491	-758	-950	-332	-325	0	0	0	0	-1	
16:57:27:499	-757	-953	-339	-332	0	0	0	0	-1	
16:57:27:522	-755	-948	-335	-327	0	0	0	0	-1	
16:57:27:530	-763	-957	-344	-336	0	0	0	0	-1	
16:57:27:544	-759	-955	-335	-332	0	0	0	0	-1	
16:57:27:559	-761	-965	-343	-335	0	0	0	0	-1	
16:57:27:574	-755	-953	-337	-327	0	0	0	0	-1	
16:57:27:582	-760	-955	-335	-330	0	0	0	0	-1	
16:57:27:597	-763	-956	-337	-331	0	0	0	0	-1	
16:57:27:611	-761	-960	-333	-329	0	0	0	0	-1	
16:57:27:626	-759	-955	-337	-333	0	0	0	0	-1	
16:57:27:634	-763	-955	-337	-328	0	0	0	0	-1	
16:57:27:649	-761	-957	-343	-335	0	0	0	0	-1	
16:57:27:671	-758	-959	-341	-333	0	0	0	0	-1	
16:57:27:680	-761	-951	-335	-328	0	0	0	0	-1	
16:57:27:696	-758	-949	-336	-331	0	0	0	0	-1	
16:57:27:711	-761	-953	-340	-329	0	0	0	0	-1	
16:57:27:726	-755	-946	-334	-325	0	0	0	0	-1	
16:57:27:740	-757	-952	-339	-329	0	0	0	0	-1	
16:57:27:748	-757	-955	-336	-326	0	0	0	0	-1	
16:57:27:763	-758	-950	-331	-330	0	0	0	0	-1	
16:57:27:778	-763	-958	-342	-328	0	0	0	0	-1	
16:57:27:786	-757	-947	-336	-332	0	0	0	0	-1	
16:57:27:800	-758	-950	-336	-328	0	0	0	0	-1	
16:57:27:815	-758	-951	-339	-329	0	0	0	0	-1	
16:57:27:823	-763	-952	-338	-331	0	0	0	0	-1	
16:57:27:838	-761	-953	-334	-328	0	0	0	0	-1	
16:57:27:853	-764	-955	-341	-330	0	0	0	0	-1	
16:57:27:868	-764	-960	-343	-331	0	0	0	0	-1	
16:57:27:883	-761	-959	-346	-330	0	0	0	0	-1	
16:57:27:891	-757	-952	-338	-328	0	0	0	0	-1	
16:57:27:906	-763	-955	-339	-329	0	0	0	0	-1	
16:57:27:921	-765	-960	-341	-332	0	0	0	0	-1	
16:57:27:938	-762	-958	-340	-333	0	0	0	0	-1	
16:57:27:954	-762	-956	-341	-329	0	0	0	0	-1	
16:57:27:964	-763	-958	-345	-332	0	0	0	0	-1	
16:57:27:980	-760	-951	-336	-325	0	0	0	0	-1	
16:57:27:997	-764	-966	-339	-333	0	0	0	0	-1	
16:57:28:015	-759	-952	-336	-328	0	0	0	0	-1	
16:57:28:032	-761	-949	-336	-328	0	0	0	0	-1	
16:57:28:051	-763	-957	-338	-333	0	0	0	0	-1	
16:57:28:070	-753	-952	-333	-331	0	0	0	0	-1	
16:57:28:088	-757	-949	-331	-331	0	0	0	0	-1	
16:57:28:097	-760	-953	-338	-334	0	0	0	0	-1	
16:57:28:114	-758	-953	-336	-332	0	0	0	0	-1	
16:57:28:128	-759	-949	-336	-330	0	0	0	0	-1	
16:57:28:147	-762	-958	-341	-335	0	0	0	0	-1	
16:57:28:163	-761	-951	-338	-329	0	0	0	0	-1	
16:57:28:181	-766	-958	-342	-331	0	0	0	0	-1	
16:57:28:197	-763	-964	-342	-336	0	0	0	0	-1	
16:57:28:206	-760	-955	-334	-330	0	0	0	0	-1	
16:57:28:222	-767	-959	-345	-335	0	0	0	0	-1	
16:57:28:240	-762	-953	-339	-331	0	0	0	0	-1	
16:57:28:256	-759	-948	-336	-328	0	0	0	0	-1	
16:57:28:273	-766	-958	-337	-333	0	0	0	0	-1	
16:57:28:298	-768	-954	-338	-332	0	0	0	0	-1	
16:57:28:306	-760	-953	-334	-326	0	0	0	0	-1	
16:57:28:328	-768	-961	-342	-335	0	0	0	0	-1	
16:57:28:345	-760	-959	-345	-329	0	0	0	0	-1	
16:57:28:354	-760	-946	-334	-330	0	0	0	0	-1	
16:57:28:371	-763	-957	-343	-331	0	0	0	0	-1	
16:57:28:387	-763	-956	-341	-335	0	0	0	0	-1	
16:57:28:410	-758	-949	-337	-331	0	0	0	0	-1	
